timestamp,temperature,humidity
795664439,22,10
795664449,22,10
795664459,22,10
795664469,22,10
795664479,22,10
795664489,22,10
795664498,22,10
795664508,22,10
795664518,24,91
795664528,27,95
795664538,28,95
795664548,28,95
